code,date,open,high,low,close,adjusted_close
NVDA,2004-11-02,14.69,15.3,14.6204,14.99,1.1457
AAPL,2004-11-04,55.0312,55.552,54.3704,54.4488,0.822
NVDA,2004-11-01,14.66,14.79,14.48,14.78,1.1297
AAPL,2004-10-04,39.1776,39.1776,38.752,38.7912,0.5857
AAPL,2004-10-08,39.5584,39.7712,38.8416,39.06,0.5897
NVDA,2004-10-13,14.75,14.94,14.1104,14.2304,1.0876
AAPL,2004-10-01,39.1216,39.1888,38.5784,38.668,0.5838
AAPL,2004-10-12,38.5,38.5784,37.6488,38.2872,0.578
NVDA,2004-10-20,13.53,13.79,13.4504,13.73,1.0494
AAPL,2004-10-11,38.8024,39.06,38.1976,38.5896,0.5826
AAPL,2004-10-22,47.5384,47.6672,47.0176,47.4096,0.7158
NVDA,2004-10-29,14.5904,14.79,14.34,14.4704,1.106
NVDA,2004-10-19,14,14.1104,13.47,13.5704,1.0372
NVDA,2004-10-21,13.82,14.22,13.76,14.04,1.0731
NVDA,2004-10-26,14.66,15.1904,14.1704,14.49,1.1075
AAPL,2004-10-05,38.5616,39.6704,38.3992,39.368,0.5944
NVDA,2004-10-18,13.34,13.8,13.23,13.6604,1.0441
NVDA,2004-10-27,14.4,15.1604,14.2304,14.8904,1.1381
NVDA,2004-10-25,13.17,13.6304,13.14,13.34,1.0196
NVDA,2004-10-28,14.69,15,14.5904,14.73,1.1259
AAPL,2004-09-29,37.9288,38.8584,37.8224,38.6792,0.584
AAPL,2004-10-20,47.18,47.6,46.648,47.4712,0.7167
NVDA,2004-10-07,15.54,15.89,15.27,15.35,1.1733
AAPL,2004-10-13,38.8696,39.76,38.7408,39.7488,0.6001
NVDA,2004-10-15,13.83,13.85,13.08,13.4204,1.0257
NVDA,2004-10-14,14.36,14.36,13.7,13.8,1.0548
NVDA,2004-11-04,15.11,15.6,14.9204,15.41,1.1778
AAPL,2004-10-21,47.4824,48.132,47.3592,47.9416,0.7238
NVDA,2004-10-12,14.04,14.43,13.8104,14.3204,1.0945
AAPL,2004-10-06,39.5024,40.7624,39.4688,40.6392,0.6136
NVDA,2004-10-04,15.44,15.75,15.2204,15.5504,1.1885
AAPL,2004-10-19,48.0984,48.3504,47.3088,47.4208,0.7159
AAPL,2004-09-28,37.4584,38.2872,37.4472,38.0408,0.5743
NVDA,2004-10-08,15.24,15.2504,14.3804,14.51,1.109
AAPL,2004-10-18,44.6992,47.7512,44.6992,47.7512,0.7209
NVDA,2004-10-01,14.5904,15.2,14.52,15.12,1.1557
AAPL,2004-10-15,44.8784,45.612,44.1896,45.5,0.6869
AAPL,2004-09-27,36.9488,37.9792,36.8312,37.5312,0.5666
NVDA,2004-10-11,14.5304,14.82,14.27,14.5304,1.1106
NVDA,2004-10-22,14.1704,14.2004,13.2404,13.28,1.015
AAPL,2004-10-14,43.1928,45.752,42.5488,44.9792,0.6791
AAPL,2004-09-30,38.9984,39.2728,38.4496,38.752,0.5851
NVDA,2004-10-05,15.29,15.57,15.06,15.2,1.1618
AAPL,2004-10-07,40.5384,40.9304,39.4576,39.62,0.5982
NVDA,2004-09-24,14.5512,14.57,13.8404,14.0504,1.0739
NVDA,2004-09-21,14.88,15.18,14.82,15.06,1.1511
NVDA,2004-09-29,13.9904,14.7404,13.8104,14.34,1.0961
NVDA,2004-09-22,14.6804,15.02,14.2904,14.36,1.0976
AAPL,2004-09-03,35.0112,35.9184,35.0112,35.2296,0.5319
NVDA,2004-10-06,15.17,15.33,14.82,15.26,1.1664
NVDA,2004-09-10,13.44,14.1404,13.28,14.07,1.0754
NVDA,2004-09-09,12.62,13.77,12.56,13.55,1.0357
AAPL,2004-09-01,34.3,35.9912,34.188,35.8624,0.5414
AAPL,2004-09-02,35.4984,35.812,34.832,35.6608,0.5384
AAPL,2004-09-07,35.3976,36.1928,35.2296,35.7616,0.5399
AAPL,2004-09-08,35.7,36.568,35.6776,36.3496,0.5488
AAPL,2004-09-23,37.0384,37.4976,36.932,37.268,0.5627
AAPL,2004-09-15,35.3584,35.4816,34.7984,35.2016,0.5315
NVDA,2004-09-28,13.76,14.12,13.58,14,1.0701
AAPL,2004-09-21,37.7496,38.8696,37.4584,38.0072,0.5738
NVDA,2004-09-17,14.22,14.766,14.1,14.69,1.1228
AAPL,2004-09-24,37.4472,38.0016,37.1504,37.2904,0.563
NVDA,2004-09-27,13.94,14.1,13.55,13.8,1.0548
AAPL,2004-09-22,38.1024,38.1416,36.8088,36.9208,0.5574
NVDA,2004-09-16,13.83,14.25,13.7804,14.1104,1.0785
NVDA,2004-09-30,14.5004,14.85,14.2304,14.52,1.1098
NVDA,2004-09-20,14.4,15.09,14.22,14.67,1.1213
NVDA,2004-09-13,14.0504,14.6204,14.03,14.34,1.0961
AAPL,2004-09-17,36.5512,37.38,36.4,37.1392,0.5607
NVDA,2004-09-03,12.8204,13.08,12.71,12.8204,0.9799
AAPL,2004-08-27,34.6808,34.7592,33.9976,34.3504,0.5186
NVDA,2004-09-14,14.21,14.5004,14.1,14.4,1.1006
AAPL,2004-09-10,35.6608,36.232,35.4592,35.868,0.5415
AAPL,2004-09-09,36.0976,36.2992,35.28,35.7,0.539
AAPL,2004-09-16,35.2016,36.7584,35.0784,36.3496,0.5488
AAPL,2004-08-26,33.04,35.1792,32.7376,34.6584,0.5233
NVDA,2004-09-01,12.3,12.8804,12.14,12.7004,0.9707
NVDA,2004-09-02,12.7692,13.32,12.6404,13.22,1.0105
AAPL,2004-09-20,36.8816,37.9792,36.8704,37.7104,0.5693
NVDA,2004-09-07,12.9104,13.17,12.41,12.5804,0.9615
AAPL,2004-08-30,33.9976,34.72,33.9584,34.1208,0.5151
NVDA,2004-09-08,12.5804,12.7004,12.29,12.32,0.9417
NVDA,2004-09-23,14.5304,14.57,14.1104,14.49,1.1075
NVDA,2004-09-15,13.95,14,13.4204,13.6004,1.0395
